# Problem = Knapsack
# Variables = 1
# Objectives = 2
000001100010000101001100000101100110000101011100010010000001100000000011000000000100000010000110000101110010000101001100010010000001100000000011000001100010000101001100000100000000001000000000010000010000000000000001000000000100000000000000000000011000000010100100000000000100000001000000000101100110000101001100000101100110000101001100000000000000010000000000000000000000001000000000000000010000000000000000000000001000000010001000000000001000000011000000000001101010000111001100000101100110000101001100000000001000000010000000000001101010100101001100000001101010000111001100010000100001100001000011000101100110000101001100 -1.9774333778768778 143.0
000000000000000001000100000001000000000001001000110001000001100000000011000000000000000000000000000001000010000000001000000000000000000000000000000001000000000000000000000000000000001000000000000000110000000000010000000000000100010000000000000000000000000000000000000000000100000000000000010000100000000001000000000001100000000001000000000000000000000000000000000000000000001000000000000000010000000000000000000000001000000010000000000000001000000010000000000001000000000001000000000000000010000001000000000000001000000010000000000000101000000000000000000000001000000000000000010000000001100000000001000000000100000000000000 -1.0486120041459799 49.0
000000000000000100000000000001000000000101001000010000000001100010000011000000000000000000000000000000000010000000000000000000000000000000000000000001000000000000000000000000000000001000000000000000010000000000000000000000000100000000000000100000000000000010000010000000000100000000000000000000100000000001010000000001100000000001000100000000000000000000000000000000000000001000000000000000010000000000000000000000001000000010000000000000001000000010000000000001000000000001000000000000000010000101000000000000001000000010000000000000101000000000000000000000001000010000000000010000000001000010000011000001000110000000000000 -1.10763980448246 52.0
000000000000000001000000000000000000000001001000010000000001100000000011000000000000000000000100000000000010000000000000000000000000000000000000000001100000000000000000000000000000001000000000000000010100000000000000000000000100000000100000000000001000000010000000000000000100000000000000000001100000000001000000000001100000000001000000000000000000000000000000000000000000001000000000000000010000000000000000000000001000000010000000000000001000000010000000000000001000000000001000000000100010000101001000000000001000000010000000000000101000000001000000000000001000000000000000010000000001100000000011000000000110000100000100 -1.201389903202653 54.0
000000000000000001000000000001100010000001001000010000000001100000000011000000000000000000000000000100000010000000000000000000000000000000000000000001000000000000000000000000000000001000000000000000010000000000000000000000000100000000000000000000001000000010000000000000000100000001000000000100100000000001000000000001100100000001000000000001000000000000000000000000000000001000000000000000010000000000000000000000001000000010000000000000001000000010000000000001001000000000001000000000100010000001000000000000001000000010000000000000101000000000000000000000001000000010000000010000000001100000000011000001100010000101000000 -1.276042703539133 57.0
000000000000000000000000000000000010000001000000010000000001100000000011000000000000000000000000000100100110000000000000000000000000000000000000000001000000000000001000000000000000001000000000001000010000000000000000000000000100000000000000000000001000000010000000000000000101000001000000000100100010000001000000000001100100000001000000000001000000000000000000000010000000001000000000000000010000000000000000000000001000000010000000000000001000000010000000000001000000000000000000000000000010000001000000000000001000000010000000000000101000000000000000000001001000000000000000010000000001100000000011000001100010000001000000 -1.2291675060987473 56.0
000000100000000101001100000001000010000001001000010000000001100000000011000000000000000000000000000101100000000100001100000000000000000000000000000001100000000101001000000000000000001000000000000000010000000000000000000000000100000000000000000000001000000010000000000000000100000001000000000100100110000001000000000001100110000001000000000000000000000000000000000000000000001000000000000000010000000100000000000000001000000010000000000000001000000010000000000001100010000001001000000000000010000001001000000000001000000010000000000000101000000100001000000100000010000000000100010000000001100000000011000000100110000101000000 -1.4756959974765778 76.0
000001000000000001000100000000100000000001001000010010000001100000000011000000000000000000000000000101000000000000000000000000000000000000000000000001000000000100000000000000000000001000000000000000010000000000000000000000000100000000000010000000001000000010000000000000000100000001000000000001100110000001000000000001100010000001000100000000000000000000000000000000000000001000000000000000010000001000000000000000001000000010000000000000001000000010000000000001000000000000000000100000000010000101001000000000001000000010000000000000100000000001001000000000001000000011000100010000100001100000000011000001000110000101000100 -1.366320701315999 68.0
000000100000000101001100000001000110000001001000010000000001100000000011000000000000000000000000000101100010000100000100000000000000000000000000000001100010000001000100000000000000001000000000000010010000000000000000000000000100000000000000000000001000000010000000000000000100000001000000000100100010000001000000000001100110000101000000000000000000000000000000000000000000001000000000000000010000000000000000000000001000000010000000000000001000000010000000000001101010000001001100000101000110000101001101000000001000000010000000000001100010000101001000000001101010000110000100010000000001100000000011000001100110000101000100 -1.6527798902243376 93.0
000000100010000101001100000101100110000101001100010000000001100000000011000000000000000000000000000101100010000101001100000000000000000000000000000001100000000101001100000000000000001000000000000000010000000000000000000000000100000000000000000000001000000010000000000000000100000001000000000100100110000101001100000101100010000101001100000000000000000000000000000000000000001000000000000000010000000000000000000000011000000010000000000000001000000010001000000001101010000111001000000101100100000001001100000000001000001011000000000101101010000101001100000001001010000111001100010000000001100000000011000001100110000101001100 -1.8350721821188927 114.0
