Rule,Instance,Algorithm,Run,Type,Precision,Recall,F1,ED,HV,Time
migrationRule10,migrationRule10/num_iter_100pop_size_100/input/input_CO/run_13,QIMIG,13.0,INTEGRATED,1.0,0.965217391,0.977065935,0.034782608999999964,0.965217391,130.528933
migrationRule10,migrationRule10/num_iter_100pop_size_100/input/input_CO/run_6,QIMIG,6.0,INTEGRATED,0.995575221,0.97826087,0.982706767,0.02218486967182236,0.9739322818459022,122.03231
migrationRule10,migrationRule10/num_iter_100pop_size_100/input/input_CO/run_12,QIMIG,12.0,INTEGRATED,1.0,0.939130435,0.960167002,0.06086956499999996,0.939130435,131.942806
migrationRule18,migrationRule18/num_iter_100pop_size_100/input/input_CO/run_23,QIMIG,23.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,52.69874072
migrationRule18,migrationRule18/num_iter_100pop_size_100/input/input_CO/run_21,QIMIG,21.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,54.85550952
migrationRule18,migrationRule18/num_iter_100pop_size_100/input/input_CO/run_12,QIMIG,12.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,108.1050346
migrationRule18,migrationRule18/num_iter_100pop_size_100/input/input_CO/run_5,QIMIG,5.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,36.70051169
migrationRule18,migrationRule18/num_iter_100pop_size_100/input/input_CO/run_2,QIMIG,2.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,44.18306732
migrationRule18,migrationRule18/num_iter_100pop_size_100/input/input_CO/run_1,QIMIG,1.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,76.12240863
migrationRule10,migrationRule10/num_iter_100pop_size_100/input/input_CO/run_3,QIMIG,3.0,INTEGRATED,1.0,0.952173913,0.968586794,0.04782608700000002,0.952173913,146.4539239
migrationRule18,migrationRule18/num_iter_100pop_size_100/input/input_CO/run_15,QIMIG,15.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,113.7732904
migrationRule18,migrationRule18/num_iter_100pop_size_100/input/input_CO/run_7,QIMIG,7.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,50.25655508
migrationRule10,migrationRule10/num_iter_100pop_size_100/input/input_CO/run_27,QIMIG,27.0,INTEGRATED,1.0,0.947826087,0.96577381,0.05217391299999996,0.947826087,163.9727173
migrationRule18,migrationRule18/num_iter_100pop_size_100/input/input_CO/run_22,QIMIG,22.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,93.87198305
migrationRule18,migrationRule18/num_iter_100pop_size_100/input/input_CO/run_8,QIMIG,8.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,71.49713326
migrationRule18,migrationRule18/num_iter_100pop_size_100/input/input_CO/run_27,QIMIG,27.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,90.66762066
migrationRule18,migrationRule18/num_iter_100pop_size_100/input/input_CO/run_26,QIMIG,26.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,99.29454589
migrationRule18,migrationRule18/num_iter_100pop_size_100/input/input_CO/run_4,QIMIG,4.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,89.43544626
migrationRule18,migrationRule18/num_iter_100pop_size_100/input/input_CO/run_9,QIMIG,9.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,84.48047757
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_23,QIMIG,23.0,INTEGRATED,1.0,0.793846154,0.851752686,0.20615384599999997,0.793846154,59.68034506
migrationRule18,migrationRule18/num_iter_100pop_size_100/input/input_CO/run_6,QIMIG,6.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,108.9312313
migrationRule18,migrationRule18/num_iter_100pop_size_100/input/input_CO/run_18,QIMIG,18.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,170.2690396
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_10,QIMIG,10.0,INTEGRATED,1.0,0.772307692,0.837359634,0.22769230799999995,0.772307692,114.5922687
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_12,QIMIG,12.0,INTEGRATED,0.996175908,0.801538462,0.85455699,0.198498377184676,0.7984733051797736,120.8568108
migrationRule18,migrationRule18/num_iter_100pop_size_100/input/input_CO/run_24,QIMIG,24.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,156.9879682
migrationRule18,migrationRule18/num_iter_100pop_size_100/input/input_CO/run_3,QIMIG,3.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,146.7746027
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_19,QIMIG,19.0,INTEGRATED,1.0,0.773846154,0.838383745,0.226153846,0.773846154,111.5056553
migrationRule18,migrationRule18/num_iter_100pop_size_100/input/input_CO/run_25,QIMIG,25.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,176.5964601
migrationRule18,migrationRule18/num_iter_100pop_size_100/input/input_CO/run_28,QIMIG,28.0,INTEGRATED,1.0,1.0,1.0,0.0,1.0,183.6913657
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_11,QIMIG,11.0,INTEGRATED,0.996116505,0.789230769,0.84629734,0.21080500532422466,0.7861657952547424,168.8064744
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_28,QIMIG,28.0,INTEGRATED,0.994071146,0.773846154,0.834853728,0.22623154813231736,0.7692581331344726,110.6052749
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_18,QIMIG,18.0,INTEGRATED,0.997979798,0.76,0.828015488,0.24000850238297977,0.75846464648,164.3584824
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_2,QIMIG,2.0,INTEGRATED,0.998015873,0.773846154,0.83720855,0.22616254955350995,0.7723107449520025,123.2038224
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_29,QIMIG,29.0,INTEGRATED,1.0,0.790769231,0.849688864,0.20923076900000004,0.790769231,126.6683204
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_0,QIMIG,0.0,INTEGRATED,1.0,0.776923077,0.84043371,0.22307692300000004,0.776923077,215.2534106
