Rule,Algorithm,Precision,Recall,F1,Time
Rule1,MOEA/D,0.6983805668016194,0.5307692307692308,0.5028892160471108,17.422691822052002
Rule1,NSGA-II,0.8181818181818182,0.5123076923076924,0.58422793341517,17.520691633224487
Rule1,NSGA-III,0.8784530386740331,0.48923076923076925,0.6034669171732927,18.6395902633667
Rule1,AGE-MOEA,0.8587570621468926,0.4676923076923077,0.5827888446215139,27.491758346557617
Rule1,SA,0.6838407494145199,0.4492307692307692,0.47305819492768997,0.7482192516326904
Rule1,ACO,0.5,0.0015384615384615385,0.2419490777945471,0.7479712963104248
Rule1,DE,0.8,0.043076923076923075,0.28287755309784857,18.868515491485596
Rule10,NSGA-II,0.98,0.8521739130434782,0.8937224502203982,8.034894466400146
Rule10,NSGA-III,0.9945054945054945,0.7869565217391304,0.8621598945223541,9.155319213867188
Rule10,MOEA/D,0.6169154228855721,0.5391304347826087,0.4877030162412993,16.522880792617798
Rule10,AGE-MOEA,0.96875,0.808695652173913,0.8611404594439581,31.6260187625885
Rule1,GA,0.7142857142857143,0.15384615384615385,0.3617707883553394,60.15970039367676
Rule10,DE,0.6666666666666666,0.008695652173913044,0.28094949615611053,7.925334215164185
Rule10,SA,0.6266666666666667,0.40869565217391307,0.47770549970431697,0.6886475086212158
Rule10,ACO,0.0,0.0,0.2727272727272727,0.17699956893920898
Rule10,GA,0.0,0.0,0.2727272727272727,40.137747287750244
Rule18,NSGA-II,1.0,0.95,0.982905982905983,10.11436128616333
Rule18,NSGA-III,1.0,0.95,0.982905982905983,15.615511655807495
Rule18,MOEA/D,0.52,0.65,0.7033033033033033,16.169094800949097
Rule18,GA,0.0,0.0,0.4264705882352941,15.311770915985107
Rule18,DE,0.0,0.0,0.4264705882352941,3.2883050441741943
Rule18,PSO,0.0,0.0,0.4090909090909091,39.253644704818726
Rule18,SA,0.18181818181818182,0.2,0.44611528822055135,0.6191830635070801
Rule18,ACO,0.0,0.0,0.4264705882352941,0.04000091552734375
Rule18,AGE-MOEA,1.0,0.95,0.982905982905983,67.67482161521912
