Rule,Algorithm,Run,F1
Rule1,QF-MIG,19,0.5667967006993564
Rule1,QF-MIG,21,0.5869839037470346
Rule1,QF-MIG,20,0.5798245149444768
Rule1,QF-MIG,22,0.5839877113762464
Rule1,QF-MIG,25,0.5734616403284188
Rule1,QF-MIG,23,0.5496250707413696
Rule1,QF-MIG,26,0.5709437963944857
Rule1,QF-MIG,24,0.5944930722000785
Rule1,QF-MIG,27,0.569097613212338
Rule1,QF-MIG,28,0.5658770933189353
Rule1,QF-MIG,29,0.560596624662665
Rule1,QF-MIG,1,0.5623278739252481
Rule1,QF-MIG,2,0.5698613036681893
Rule1,QF-MIG,0,0.5819327731092437
Rule1,QF-MIG,4,0.5869839037470346
Rule1,QF-MIG,6,0.5639943275560485
Rule1,QF-MIG,3,0.5726977248104008
Rule1,QF-MIG,7,0.6060398396350406
Rule1,QF-MIG,5,0.5697966696829779
Rule1,QF-MIG,8,0.5807486631016043
Rule1,QF-MIG,9,0.5754784873838275
Rule1,QF-MIG,10,0.5603636090451507
Rule1,QF-MIG,11,0.5775446404917077
Rule1,QF-MIG,12,0.5775800790304422
Rule1,QF-MIG,15,0.5690538439796495
Rule1,QF-MIG,13,0.5740680390846373
Rule1,QF-MIG,14,0.582905416963256
Rule1,QF-MIG,16,0.5754035017994745
Rule1,QF-MIG,17,0.574331373685518
Rule1,QF-MIG,18,0.5680251718141922
Rule1,QF-MIG,19,0.5628322647874389
Rule1,QF-MIG,20,0.5861052259887005
Rule1,QF-MIG,21,0.5722708621502368
Rule1,QF-MIG,22,0.5621730382293763
Rule1,QF-MIG,25,0.575538456784401
Rule1,QF-MIG,27,0.5573036959472819
Rule1,QF-MIG,24,0.5807153430182694
Rule1,QF-MIG,26,0.5584415584415584
Rule1,QF-MIG,23,0.5766689948680263
Rule1,QF-MIG,28,0.5798245149444768
Rule1,QF-MIG,29,0.5699221179155304
Rule1,QF-MIG,1,0.557104101399548
Rule1,QF-MIG,2,0.5733411045762022
Rule1,QF-MIG,0,0.5742373630014079
Rule1,QF-MIG,4,0.5902909278705457
Rule1,QF-MIG,6,0.5595702230039561
Rule1,QF-MIG,5,0.5871844184560793
Rule1,QF-MIG,3,0.5762313288996546
