Rule,Instance,Algorithm,Run,Type,Group,Param_Value,Precision,Recall,F1,ED,HV,Time
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_0,Q_GUIDED,0,SENS,POP_SIZE,50,0.9960474308300395,0.7753846153846153,0.8370556778861278,0.22465015871118474,0.7723198540589845,39.460590839385986
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_1,Q_GUIDED,1,SENS,POP_SIZE,50,0.9771428571428571,0.7892307692307692,0.8344009573008785,0.2120049943247685,0.7711912087912087,41.70386600494385
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_0,Q_GUIDED,0,SENS,POP_SIZE,100,0.996031746031746,0.7723076923076924,0.8350086655112652,0.2277268847145744,0.7692429792429794,44.4069459438324
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_1,Q_GUIDED,1,SENS,POP_SIZE,100,0.997979797979798,0.76,0.8280154880876354,0.2400085023831498,0.7584646464646465,44.40132761001587
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_0,Q_GUIDED,0,SENS,POP_SIZE,150,0.9960079840319361,0.7676923076923077,0.8319424301058147,0.23234198952581672,0.7646276677414402,53.773552894592285
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_1,Q_GUIDED,1,SENS,POP_SIZE,150,0.998003992015968,0.7692307692307693,0.8341392610848237,0.23077786271151482,0.7676953784738216,52.94705891609192
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_0,Q_GUIDED,0,SENS,LEARNING_RATE,0.15,0.9940239043824701,0.7676923076923077,0.8307661052009456,0.23238454687038745,0.7631045050566962,57.66423726081848
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_1,Q_GUIDED,1,SENS,HYBRID_RATIO,0.3,0.9980276134122288,0.7784615384615384,0.8402830567444077,0.2215472415754257,0.7769261113639812,57.00830864906311
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_1,Q_GUIDED,1,SENS,LEARNING_RATE,0.4,0.9960238568588469,0.7707692307692308,0.8339860238386978,0.22926525091345423,0.7677045419788958,57.16730761528015
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_0,Q_GUIDED,0,SENS,LEARNING_RATE,0.4,0.9961013645224172,0.7861538461538462,0.8442392110310832,0.2138816889623325,0.7830889188783926,58.15260672569275
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_0,Q_GUIDED,0,SENS,GREEDY_RATIO,0.2,0.9980119284294234,0.7723076923076924,0.8361848844501059,0.2277009868463864,0.7707722893408778,58.16252279281616
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_0,Q_GUIDED,0,SENS,HYBRID_RATIO,0.3,1.0,0.7861538461538462,0.8465981083277399,0.2138461538461538,0.7861538461538462,58.54575848579407
